"","SampleCode","ChemCode","OriginalChemName","Prefix","Result","Result_Unit","Total_or_Filtered","Result_Type","Method_Type","Method_Name","Extraction_Date","Analysed_Date","Lab_Analysis_ID","Lab_Preperation_Batch_ID","Lab_Analysis_Batch_ID","EQL","RDL","MDL","ODL","Detection_Limit_Units","Lab_Comments","Lab_Qualifier","UCL","LCL","Dilution_Factor","Spike_Concentration","Spike_Measurement","Spike_Units"
"11","24-10364_IW-2024-261_MS","7440-50-8","Copper","",76.3,"%","T","SC","Total","EPA 200.8","6/18/2024 0:00","6/19/2024 0:00","24-10364","24-10364","IW-2024-261",0.3,2,0.3,NA,"ug/L","Digested","",130,70,1,50,38.2,"ug/L"
"12","24-10364_IW-2024-261_Dup","7440-50-8","Copper","",1.83,"ug/L","T","REG","Total","EPA 200.8","6/18/2024 0:00","6/19/2024 0:00","24-10364","24-10364","IW-2024-261",0.3,2,0.3,NA,"ug/L","Digested","J",NA,NA,1,NA,NA,""
"13","24-10364_IW-2024-262_BLK","7440-50-8","Copper","<",0.3,"ug/L","T","SC","Total","EPA 200.8","6/18/2024 0:00","6/19/2024 0:00","24-10364","24-10364","IW-2024-262",0.3,2,0.3,NA,"ug/L","Digested","",NA,NA,1,NA,NA,""
"14","24-10364_IW-2024-262_LFB","7440-50-8","Copper","",103,"%","T","SC","Total","EPA 200.8","6/18/2024 0:00","6/19/2024 0:00","24-10364","24-10364","IW-2024-262",0.3,2,0.3,NA,"ug/L","Digested","",115,85,1,50,51.6,"ug/L"
"15","24-10364_IW-2024-262_MS","7440-50-8","Copper","",76.3,"%","T","SC","Total","EPA 200.8","6/18/2024 0:00","6/19/2024 0:00","24-10364","24-10364","IW-2024-262",0.3,2,0.3,NA,"ug/L","Digested","",130,70,1,50,38.2,"ug/L"
"16","24-10364_IW-2024-262_Dup","7440-50-8","Copper","",1.99,"ug/L","T","REG","Total","EPA 200.8","6/18/2024 0:00","6/19/2024 0:00","24-10364","24-10364","IW-2024-262",0.3,2,0.3,NA,"ug/L","Digested","J",NA,NA,1,NA,NA,""
"17","24-10364_WC1-2024-281_BLK","TSS","TSS","<",1,"mg/L","T","SC","Total","SM 2540D","6/19/2024 0:00","6/19/2024 0:00","24-10364","24-10364","WC1-2024-281",1,1,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"18","24-10364_WC1-2024-281_LFB","TSS","TSS","",98.8,"%","T","SC","Total","SM 2540D","6/19/2024 0:00","6/19/2024 0:00","24-10364","24-10364","WC1-2024-281",1,40,1,NA,"mg/L","","",106.7,90.1,1,1000,988,"mg/L"
"19","24-10364_WC1-2024-281_Dup","TSS","TSS","",33.2,"mg/L","T","REG","Total","SM 2540D","6/19/2024 0:00","6/19/2024 0:00","24-10364","24-10364","WC1-2024-281",1,2,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"20","24-10364_WC3-2024-152_BLK","OrthoPhosphorus","OrthoPhosphorus","<",0.013,"mg/L","T","SC","Total","EPA 300.0","6/15/2024","6/15/2024","24-10364","24-10364","WC3_2024_152",0.013,0.05,0.013,NA,"mg/L","","",NA,NA,1,NA,NA,""
"21","24-10364_WC3_2024-152_LFB","OrthoPhosphorus","OrthoPhosphorus","",90.4,"%","T","SC","Total","EPA 300.0","6/15/2024","6/15/2024","24-10364","24-10364","WC3_2024_152",0.013,0.05,0.013,NA,"mg/L","","",110,90,1,5,4.52,"mg/L"
"22","24-10364_WC3_2024_152_MS","OrthoPhosphorus","OrthoPhosphorus","",93,"%","T","SC","Total","EPA 300.0","6/15/2024","6/15/2024","24-10364","24-10364","WC3_2024_152",0.013,0.05,0.013,NA,"mg/L","","",120,80,1,5,4.67,"mg/L"
"23","24-10364_WC3_2024_152_Dup","OrthoPhosphorus","OrthoPhosphorus","<",0.013,"mg/L","T","REG","Total","EPA 300.0","6/15/2024","6/15/2024","24-10364","24-10364","WC3_2024_152",0.013,0.05,0.013,NA,"mg/L","","",NA,NA,1,NA,NA,""
"24","24F0422_24F0422-01","7440-66-6","Zinc","",31.4,"ug/L","T","REG","Total","EPA 200.8 UCT-KED","6/26/2024 10:13","6/27/2024 14:28","XDTm1240627056","BMF0676","SMF0367",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0676","",NA,NA,1,NA,NA,""
"25","24F0422_24F0422-01","7723-14-0","Phosphorus","",0.134,"mg/L","T","REG","Total","SM 4500-P E-11","6/24/2024 14:27","6/26/2024 15:39","062624PO4TSRB2004","BMF0612","SMF0352",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0612","",NA,NA,1,NA,NA,""
"26","24F0422_24F0422-02","7440-66-6","Zinc","",8.78,"ug/L","F","REG","Dissolved","EPA 200.8 UCT-KED","6/26/2024 10:25","6/27/2024 16:28","XDTm1240627085","BMF0678","SMF0367",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0678","",NA,NA,1,NA,NA,""
"27","24F0422_24F0422-03","7440-66-6","Zinc","<",2.92,"ug/L","T","REG","Total","EPA 200.8 UCT-KED","6/26/2024 10:13","6/28/2024 19:15","XDTm2240628051","BMF0676","SMF0390",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0676","U",NA,NA,1,NA,NA,""
"28","24F0422_24F0422-03","7723-14-0","Phosphorus","",0.016,"mg/L","T","REG","Total","SM 4500-P E-11","6/24/2024 14:27","6/26/2024 15:42","062624PO4TSRB2007","BMF0612","SMF0352",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0612","",NA,NA,1,NA,NA,""
"29","24F0422_24F0422-04","7440-66-6","Zinc","<",2.92,"ug/L","F","REG","Dissolved","EPA 200.8 UCT-KED","6/26/2024 10:25","6/27/2024 14:09","XDTm1240627051","BMF0678","SMF0367",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0678","U",NA,NA,1,NA,NA,""
"30","24F0422_BMF0612-BLK1","7723-14-0","Phosphorus","<",0.008,"mg/L","T","REG","Total","SM 4500-P E-11","6/24/2024 14:27","6/26/2024 15:35","062624PO4TSRB2001","BMF0612","SMF0352",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0612","U",NA,NA,1,NA,NA,""
"31","24F0422_BMF0612-BLK2","7723-14-0","Phosphorus","<",0.008,"mg/L","T","REG","Total","SM 4500-P E-11","6/24/2024 14:27","6/26/2024 15:44","062624PO4TSRB2008","BMF0612","SMF0352",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0612","U",NA,NA,1,NA,NA,""
"32","24F0422_BMF0612-BS1","7723-14-0","Phosphorus","",99.3,"%","T","SC","Total","SM 4500-P E-11","6/24/2024 14:27","6/26/2024 15:37","062624PO4TSRB2002","BMF0612","SMF0352",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0612","",110,90,1,0.15,0.149,"mg/L"
"33","24F0422_BMF0612-BS2","7723-14-0","Phosphorus","",106,"%","T","SC","Total","SM 4500-P E-11","6/24/2024 14:27","6/26/2024 15:46","062624PO4TSRB2009","BMF0612","SMF0352",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0612","",110,90,1,0.15,0.159,"mg/L"
"34","24F0422_BMF0612-DUP1","7723-14-0","Phosphorus","",0.137,"mg/L","T","REG","Total","SM 4500-P E-11","6/24/2024 14:27","6/26/2024 15:39","062624PO4TSRB2005","BMF0612","SMF0352",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0612","",NA,NA,1,NA,NA,""
"35","24F0422_BMF0612-MS1","7723-14-0","Phosphorus","",87.6,"%","T","SC","Total","SM 4500-P E-11","6/24/2024 14:27","6/26/2024 15:41","062624PO4TSRB2006","BMF0612","SMF0352",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0612","",125,75,1,0.1005,0.222,"mg/L"
"36","24F0422_BMF0676-BLK1","7440-66-6","Zinc","<",2.92,"ug/L","T","REG","Total","EPA 200.8 UCT-KED","6/26/2024 10:13","6/26/2024 16:39","XDTm2240626037","BMF0676","SMF0340",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0676","U",NA,NA,1,NA,NA,""
"37","24F0422_BMF0676-BS1","7440-66-6","Zinc","",96.6,"%","T","SC","Total","EPA 200.8 UCT-KED","6/26/2024 10:13","6/26/2024 16:43","XDTm2240626038","BMF0676","SMF0340",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0676","",120,80,1,80,77.3,"ug/L"
"38","24F0422_BMF0678-BLK1","7440-66-6","Zinc","<",2.92,"ug/L","F","REG","Dissolved","EPA 200.8 UCT-KED","6/26/2024 10:25","6/27/2024 12:29","XDTm1240627027","BMF0678","SMF0367",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0678","U",NA,NA,1,NA,NA,""
"39","24F0422_BMF0678-BS1","7440-66-6","Zinc","",98,"%","F","SC","Dissolved","EPA 200.8 UCT-KED","6/26/2024 10:25","6/27/2024 12:33","XDTm1240627028","BMF0678","SMF0367",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0678","",120,80,1,80,78.4,"ug/L"
